氏名（ひらがな）,氏名,所属,当選回数,当選区,比例ブロック
あいさわいちろう,逢沢一郎,自由民主党,当12,岡山1区,
あおやぎひとし,青柳仁士,日本維新の会,当1,大阪14区,
あおやぎよういちろう,青柳陽一郎,立憲民主党,当4,神奈川6区,['南関東ブロック']
あおやましゅうへい,青山周平,自由民主党,当4,愛知12区,['東海ブロック']
あおやまやまと,青山大人,立憲民主党,当2,茨城6区,['北関東ブロック']
あかぎまさゆき,赤木正幸,日本維新の会,当1,兵庫4区,['近畿ブロック']
あかざわりょうせい,赤沢亮正,自由民主党,当6,鳥取2区,
あかばかずよし,赤羽一嘉,公明党,当9,兵庫2区,
あかまじろう,赤間二郎,自由民主党,当5,神奈川14区,
あかみねせいけん,赤嶺政賢,日本共産党,当8,沖縄1区,
あきばけんや,秋葉賢也,自由民主党,当7,宮城2区,['東北ブロック']
あきもとまさとし,秋本真利,自由民主党,当4,千葉9区,['南関東ブロック']
あさかわよしはる,浅川義治,日本維新の会,当1,神奈川1区,['南関東ブロック']
あさのさとし,浅野哲,国民民主党,当2,茨城5区,
あずまくによし,東国幹,自由民主党,当1,北海道6区,
あずみじゅん,安住淳,立憲民主党,当9,宮城5区,
あぜもとしょうご,畦元将吾,自由民主党,当2,比例単独,['中国ブロック']
あそうたろう,麻生太郎,自由民主党,当14,福岡8区,
あだちやすし,足立康史,日本維新の会,当4,大阪9区,
あべしんぞう,安倍晋三,自由民主党,当10,山口4区,
あべつかさ,阿部司,日本維新の会,当1,東京12区,['東京ブロック']
あべとしこ,阿部俊子,自由民主党,当6,岡山3区,['中国ブロック']
あべともこ,阿部知子,立憲民主党,当8,神奈川12区,
あべひろき,阿部弘樹,日本維新の会,当1,福岡4区,['九州ブロック']
あまりあきら,甘利明,自由民主党,当13,神奈川13区,['南関東ブロック']
あらいゆたか,荒井優,立憲民主党,当1,北海道3区,['北海道ブロック']
あらかきくにお,新垣邦男,社会民主党,当1,沖縄2区,
いがらしきよし,五十嵐清,自由民主党,当1,栃木2区,['北関東ブロック']
いけしたたく,池下卓,日本維新の会,当1,大阪10区,
いけだよしたか,池田佳隆,自由民主党,当4,愛知3区,['東海ブロック']
いけはたこうたろう,池畑浩太朗,日本維新の会,当1,兵庫12区,['近畿ブロック']
いさしんいち,伊佐進一,公明党,当4,大阪6区,
いさかのぶひこ,井坂信彦,立憲民主党,当3,兵庫1区,
いしいけいいち,石井啓一,公明党,当10,比例単独,['北関東ブロック']
いしいたく,石井拓,自由民主党,当1,愛知13区,['東海ブロック']
いしかわあきまさ,石川昭政,自由民主党,当4,茨城5区,['北関東ブロック']
いしかわかおり,石川香織,立憲民主党,当2,北海道11区,
いしだまさとし,石田真敏,自由民主党,当8,和歌山2区,
いしばしげる,石破茂,自由民主党,当12,鳥取1区,
いしばしりんたろう,石橋林太郎,自由民主党,当1,比例単独,['中国ブロック']
いしはらひろたか,石原宏高,自由民主党,当5,東京3区,['東京ブロック']
いしはらまさたか,石原正敬,自由民主党,当1,三重3区,['東海ブロック']
いずみけんた,泉健太,立憲民主党,当8,京都3区,
いずみだひろひこ,泉田裕彦,自由民主党,当2,新潟5区,['北陸信越ブロック']
いちたにゆういちろう,一谷勇一郎,日本維新の会,当1,兵庫1区,['近畿ブロック']
いちむらこういちろう,市村浩一郎,日本維新の会,当4,兵庫6区,
いでようせい,井出庸生,自由民主党,当4,長野3区,
いとうしゅんすけ,伊藤俊輔,立憲民主党,当2,東京23区,['東京ブロック']
いとうしんたろう,伊藤信太郎,自由民主党,当7,宮城4区,
いとうただひこ,伊藤忠彦,自由民主党,当5,愛知8区,
いとうたつや,伊藤達也,自由民主党,当9,東京22区,
いとうのぶひさ,伊東信久,日本維新の会,当3,大阪19区,
いとうよしたか,伊東良孝,自由民主党,当5,北海道7区,
いとうわたる,伊藤渉,公明党,当5,比例単独,['東海ブロック']
いなだともみ,稲田朋美,自由民主党,当6,福井1区,
いなつひさし,稲津久,公明党,当5,北海道10区,
いなとみしゅうじ,稲富修二,立憲民主党,当3,福岡2区,['九州ブロック']
いのとしろう,井野俊郎,自由民主党,当4,群馬2区,
いのうえしんじ,井上信治,自由民主党,当7,東京25区,
いのうえたかひろ,井上貴博,自由民主党,当4,福岡1区,
いのうえひでたか,井上英孝,日本維新の会,当4,大阪1区,
いばやしたつのり,井林辰憲,自由民主党,当4,静岡2区,
いはらたくみ,井原巧,自由民主党,当1,愛媛3区,
いまえだそういちろう,今枝宗一郎,自由民主党,当4,愛知14区,
いまむらまさひろ,今村雅弘,自由民主党,当9,比例単独,['九州ブロック']
いわたかずちか,岩田和親,自由民主党,当4,佐賀1区,['九州ブロック']
いわたにりょうへい,岩谷良平,日本維新の会,当1,大阪13区,
